"ASV","T1","T2","T3","T7","T8","T10","T12","T13","T15","T16","T17","T18","T22","T23","T25","T26","T27","T30","T32","T33","T34","S1","S2","S3","S7","S8","S10","S12","S13","S15","S16","S17","S18","S22","S23","S25","S26","S27","S30","S32","S34","Domain","Phylum","Class","Order","Family","Genus","Species"
"ASV3156",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV3257",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV3286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV3291",0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Proalidae","g__Bryceella","s__Bryceella stylata"
"ASV3470",0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV3595",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV3610",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV3643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Dicranophoridae","g__Encentrum","s__Encentrum astridae"
"ASV3654",4,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV3722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV3752",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV3757",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina citrina"
"ASV3876",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Lecanidae","g__Lecane","s__Lecane ungulata"
"ASV3887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV3915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina citrina"
"ASV4082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Brachionidae","g__Brachionus","s__Brachionus urceolaris"
"ASV4263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV4403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV4572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Lecanidae","g__Lecane","s__Lecane nana"
"ASV4614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV4650",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Lecanidae","g__Lecane","s__Lecane nana"
"ASV4840",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV4867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
